,ID,prediction
0,10498,FAKE
1,2439,REAL
2,864,REAL
3,4128,REAL
4,662,REAL
5,8430,FAKE
6,1220,REAL
7,9624,FAKE
8,8211,FAKE
9,4099,REAL
10,878,REAL
11,5304,FAKE
12,92,FAKE
13,1545,REAL
14,3517,REAL
15,10414,FAKE
16,6109,FAKE
17,6456,FAKE
18,7431,FAKE
19,9078,FAKE
20,8054,FAKE
21,5252,REAL
22,219,REAL
23,10223,FAKE
24,6802,FAKE
25,6951,REAL
26,3003,REAL
27,6855,FAKE
28,3548,REAL
29,2050,REAL
30,4210,REAL
31,8128,FAKE
32,4414,REAL
33,8825,FAKE
34,3159,REAL
35,6388,FAKE
36,4638,FAKE
37,5094,REAL
38,3223,REAL
39,3049,REAL
40,9536,FAKE
41,7081,FAKE
42,8901,FAKE
43,6219,FAKE
44,6126,FAKE
45,8063,FAKE
46,935,REAL
47,5618,FAKE
48,6084,FAKE
49,9790,FAKE
50,8962,FAKE
51,1623,REAL
52,3385,REAL
53,2861,REAL
54,1774,FAKE
55,10308,FAKE
56,8408,FAKE
57,3250,REAL
58,817,REAL
59,6440,FAKE
60,10210,FAKE
61,4720,REAL
62,9042,FAKE
63,9389,FAKE
64,8117,FAKE
65,5469,FAKE
66,6110,FAKE
67,8916,REAL
68,6412,FAKE
69,10547,FAKE
70,3200,REAL
71,5221,REAL
72,4626,REAL
73,2996,REAL
74,5957,FAKE
75,1649,REAL
76,3416,REAL
77,3802,REAL
78,6885,FAKE
79,1145,REAL
80,5478,FAKE
81,4069,FAKE
82,6819,FAKE
83,3853,REAL
84,7179,FAKE
85,8163,FAKE
86,6666,FAKE
87,1396,REAL
88,2959,REAL
89,9539,FAKE
90,361,REAL
91,1122,REAL
92,10070,FAKE
93,1821,REAL
94,10175,REAL
95,2423,REAL
96,5242,REAL
97,3738,REAL
98,2745,REAL
99,523,REAL
100,5381,FAKE
101,2007,REAL
102,9706,FAKE
103,3571,REAL
104,1170,REAL
105,9914,FAKE
106,7611,FAKE
107,9712,FAKE
108,8419,FAKE
109,10387,FAKE
110,8619,FAKE
111,1074,REAL
112,9637,REAL
113,7129,FAKE
114,10543,FAKE
115,10526,FAKE
116,6239,FAKE
117,3121,FAKE
118,5968,FAKE
119,4206,REAL
120,10102,FAKE
121,6776,FAKE
122,3714,REAL
123,5794,FAKE
124,7639,FAKE
125,1333,REAL
126,8440,FAKE
127,6255,FAKE
128,1578,REAL
129,4800,REAL
130,2037,REAL
131,8537,FAKE
132,4793,REAL
133,4440,REAL
134,1195,REAL
135,9543,FAKE
136,5689,FAKE
137,4942,REAL
138,1730,REAL
139,2261,REAL
140,2841,REAL
141,6311,FAKE
142,2113,REAL
143,1219,REAL
144,3259,REAL
145,5599,FAKE
146,7387,FAKE
147,6137,FAKE
148,3220,REAL
149,6259,FAKE
150,5436,FAKE
151,3816,REAL
152,3890,REAL
153,3716,REAL
154,7557,FAKE
155,2142,REAL
156,6962,FAKE
157,2976,FAKE
158,7756,FAKE
159,2040,REAL
160,6514,FAKE
161,7224,FAKE
162,2549,REAL
163,4977,REAL
164,9140,FAKE
165,2296,REAL
166,5769,FAKE
167,3685,REAL
168,2420,REAL
169,7788,FAKE
170,530,REAL
171,8166,FAKE
172,3203,REAL
173,3891,REAL
174,6235,FAKE
175,4965,REAL
176,5380,FAKE
177,7600,FAKE
178,6595,FAKE
179,2431,REAL
180,441,REAL
181,6767,FAKE
182,8026,FAKE
183,729,REAL
184,5874,FAKE
185,6249,FAKE
186,659,REAL
187,2759,REAL
188,7364,REAL
189,8337,FAKE
190,731,FAKE
191,3270,REAL
192,5514,FAKE
193,6641,FAKE
194,3224,REAL
195,2402,REAL
196,7306,FAKE
197,9414,FAKE
198,9003,FAKE
199,721,REAL
200,4399,REAL
201,2098,REAL
202,6636,FAKE
203,4728,REAL
204,3022,FAKE
205,859,REAL
206,1759,REAL
207,8675,FAKE
208,4635,FAKE
209,5929,FAKE
210,1699,REAL
211,1735,REAL
212,7128,REAL
213,7427,FAKE
214,7566,FAKE
215,2163,FAKE
216,5397,REAL
217,9435,FAKE
218,5435,REAL
219,3885,REAL
220,4856,REAL
221,6447,FAKE
222,960,REAL
223,7866,FAKE
224,3488,REAL
225,1091,REAL
226,5348,FAKE
227,2791,REAL
228,1032,REAL
229,4710,REAL
230,10424,FAKE
231,618,REAL
232,3774,REAL
233,3585,FAKE
234,459,REAL
235,7342,FAKE
236,3850,REAL
237,6177,FAKE
238,9142,FAKE
239,1916,REAL
240,9207,FAKE
241,8533,FAKE
242,7799,FAKE
243,4251,REAL
244,8152,FAKE
245,9346,FAKE
246,2525,REAL
247,1370,REAL
248,9370,FAKE
249,5700,FAKE
250,2534,REAL
251,1009,REAL
252,8601,FAKE
253,4761,REAL
254,1568,REAL
255,175,REAL
256,5586,FAKE
257,8393,FAKE
258,3135,REAL
259,3116,REAL
260,3352,REAL
261,548,FAKE
262,3679,REAL
263,6978,FAKE
264,6105,FAKE
265,4948,REAL
266,5393,REAL
267,1574,REAL
268,2929,REAL
269,9797,FAKE
270,1110,REAL
271,1626,REAL
272,8955,FAKE
273,5879,FAKE
274,6508,FAKE
275,2159,REAL
276,2183,FAKE
277,4032,REAL
278,4132,REAL
279,9605,FAKE
280,2360,REAL
281,6737,FAKE
282,4508,FAKE
283,1679,REAL
284,6774,FAKE
285,2233,REAL
286,410,REAL
287,3489,REAL
288,4623,FAKE
289,2080,REAL
290,10083,REAL
291,3792,FAKE
292,2770,REAL
293,9076,FAKE
294,221,REAL
295,2766,REAL
296,7266,FAKE
297,4622,REAL
298,8124,FAKE
299,620,REAL
300,1656,REAL
301,7534,FAKE
302,6878,FAKE
303,1264,REAL
304,6451,FAKE
305,4820,REAL
306,6470,FAKE
307,6523,FAKE
308,7840,FAKE
309,1583,REAL
310,2017,REAL
311,3267,REAL
312,1468,REAL
313,4395,REAL
314,8318,FAKE
315,5218,REAL
316,9270,FAKE
317,4982,REAL
318,9666,FAKE
319,6583,FAKE
320,703,REAL
321,9846,FAKE
322,10029,FAKE
323,8377,FAKE
324,850,REAL
325,5039,REAL
326,10313,FAKE
327,3507,REAL
328,2529,REAL
329,2872,REAL
330,9214,FAKE
331,6149,FAKE
332,8512,FAKE
333,9895,FAKE
334,651,REAL
335,4090,FAKE
336,3337,REAL
337,3796,REAL
338,1221,REAL
339,6530,FAKE
340,3477,REAL
341,4138,REAL
342,7893,FAKE
343,4822,REAL
344,3752,REAL
345,4615,REAL
346,4082,REAL
347,8388,FAKE
348,3066,REAL
349,1305,REAL
350,3085,REAL
351,5642,FAKE
352,2723,FAKE
353,4849,REAL
354,2879,REAL
355,2979,REAL
356,8848,FAKE
357,7066,FAKE
358,1088,REAL
359,8301,REAL
360,7572,FAKE
361,5178,REAL
362,1906,REAL
363,2046,REAL
364,6627,FAKE
365,537,REAL
366,2990,REAL
367,3920,REAL
368,10321,FAKE
369,1740,REAL
370,5866,FAKE
371,873,REAL
372,3909,REAL
373,8463,FAKE
374,527,REAL
375,1369,REAL
376,7936,REAL
377,5811,FAKE
378,617,REAL
379,7973,FAKE
380,879,REAL
381,4105,REAL
382,1828,REAL
383,7606,FAKE
384,9306,FAKE
385,6811,FAKE
386,688,REAL
387,10097,FAKE
388,7186,FAKE
389,8465,FAKE
390,9754,FAKE
391,2524,REAL
392,5470,FAKE
393,540,REAL
394,6075,FAKE
395,7300,FAKE
396,10382,FAKE
397,99,REAL
398,6986,FAKE
399,6366,FAKE
400,3396,REAL
401,2398,FAKE
402,1322,REAL
403,6824,FAKE
404,3535,REAL
405,9990,FAKE
406,8480,FAKE
407,7597,FAKE
408,808,REAL
409,9182,FAKE
410,4284,REAL
411,5073,REAL
412,2587,REAL
413,1893,REAL
414,3102,REAL
415,7368,FAKE
416,7964,FAKE
417,10111,FAKE
418,3922,FAKE
419,7642,FAKE
420,3833,REAL
421,9172,FAKE
422,3917,REAL
423,8335,FAKE
424,4541,REAL
425,4081,REAL
426,1335,REAL
427,9326,FAKE
428,1664,REAL
429,10397,FAKE
430,6753,FAKE
431,7388,FAKE
432,4594,REAL
433,5245,REAL
434,978,REAL
435,2771,REAL
436,8257,FAKE
437,6685,FAKE
438,7094,FAKE
439,7691,FAKE
440,5351,FAKE
441,1240,REAL
442,6243,FAKE
443,614,REAL
444,1567,REAL
445,8642,FAKE
446,5768,FAKE
447,7982,REAL
448,6894,FAKE
449,5407,FAKE
450,767,REAL
451,10027,FAKE
452,3795,REAL
453,3197,REAL
454,5956,FAKE
455,1555,REAL
456,4367,FAKE
457,1495,REAL
458,107,FAKE
459,7324,FAKE
460,9878,FAKE
461,262,REAL
462,6372,FAKE
463,6379,FAKE
464,4384,REAL
465,2243,REAL
466,52,REAL
467,10519,FAKE
468,7865,FAKE
469,4997,REAL
470,8668,FAKE
471,9308,FAKE
472,3361,REAL
473,3333,REAL
474,4949,REAL
475,7731,FAKE
476,5650,FAKE
477,2543,REAL
478,4647,FAKE
479,77,REAL
480,5400,FAKE
481,8705,FAKE
482,9544,FAKE
483,843,REAL
484,6353,FAKE
485,206,REAL
486,4456,REAL
487,7703,FAKE
488,1327,REAL
489,10411,FAKE
490,7148,FAKE
491,7349,FAKE
492,7522,FAKE
493,5491,FAKE
494,10096,FAKE
495,12,REAL
496,5474,FAKE
497,8368,FAKE
498,8252,FAKE
499,5658,FAKE
500,5737,FAKE
501,10398,FAKE
502,8083,FAKE
503,10406,REAL
504,10242,FAKE
505,6580,FAKE
506,10050,REAL
507,7819,FAKE
508,8143,FAKE
509,2160,REAL
510,4892,REAL
511,4245,REAL
512,3016,FAKE
513,10532,FAKE
514,1633,REAL
515,552,REAL
516,3320,REAL
517,2265,REAL
518,2148,FAKE
519,7999,FAKE
520,665,REAL
521,2091,REAL
522,4438,REAL
523,2016,REAL
524,1968,REAL
525,5287,FAKE
526,9128,FAKE
527,9105,FAKE
528,3245,REAL
529,9779,FAKE
530,7841,FAKE
531,7134,FAKE
532,609,FAKE
533,1228,REAL
534,9238,FAKE
535,457,REAL
536,8154,FAKE
537,5583,FAKE
538,2349,REAL
539,10536,FAKE
540,1635,REAL
541,5341,FAKE
542,7189,FAKE
543,6901,FAKE
544,5009,REAL
545,6518,FAKE
546,9744,FAKE
547,6704,FAKE
548,10423,FAKE
549,3072,FAKE
550,7763,FAKE
551,8478,FAKE
552,3297,REAL
553,7021,FAKE
554,6371,FAKE
555,49,REAL
556,8452,FAKE
557,945,REAL
558,5862,FAKE
559,5936,FAKE
560,6162,FAKE
561,3163,REAL
562,4212,REAL
563,6449,FAKE
564,3668,REAL
565,8939,FAKE
566,9457,FAKE
567,1157,REAL
568,5734,FAKE
569,1239,REAL
570,4645,REAL
571,2374,FAKE
572,1252,REAL
573,7319,FAKE
574,3804,REAL
575,3394,FAKE
576,2479,REAL
577,261,REAL
578,1521,REAL
579,8006,FAKE
580,10299,REAL
581,2477,REAL
582,3358,REAL
583,1119,REAL
584,4704,REAL
585,7237,FAKE
586,3537,REAL
587,7909,FAKE
588,1454,REAL
589,6306,REAL
590,7419,FAKE
591,3510,REAL
592,7466,FAKE
593,6985,FAKE
594,8774,FAKE
595,5824,FAKE
596,7057,FAKE
597,9104,FAKE
598,1855,REAL
599,2847,FAKE
600,4774,REAL
601,622,REAL
602,4391,REAL
603,9740,REAL
604,679,REAL
605,466,FAKE
606,7181,FAKE
607,6164,FAKE
608,6383,FAKE
609,8488,FAKE
610,1254,REAL
611,2135,REAL
612,7246,FAKE
613,1540,REAL
614,10062,FAKE
615,10071,FAKE
616,152,REAL
617,7616,FAKE
618,2468,REAL
619,6461,FAKE
620,8444,REAL
621,8731,FAKE
622,3265,REAL
623,10151,FAKE
624,1415,REAL
625,2172,FAKE
626,1698,REAL
627,9109,FAKE
628,2125,REAL
629,5771,FAKE
630,5111,REAL
631,1291,REAL
632,5980,FAKE
633,10132,FAKE
634,2957,REAL
635,9728,FAKE
636,4461,REAL
637,4874,FAKE
638,5932,FAKE
639,6053,FAKE
640,4073,REAL
641,884,REAL
642,3449,FAKE
643,2920,FAKE
644,3699,REAL
645,5251,REAL
646,3930,REAL
647,1536,REAL
648,84,REAL
649,1553,REAL
650,4512,REAL
651,6488,FAKE
652,518,REAL
653,7311,FAKE
654,7396,FAKE
655,6417,FAKE
656,3313,REAL
657,8339,FAKE
658,8889,FAKE
659,2332,FAKE
660,287,REAL
661,7220,FAKE
662,2146,FAKE
663,3583,REAL
664,2109,REAL
665,7371,FAKE
666,10528,FAKE
667,9816,FAKE
668,9131,FAKE
669,9612,FAKE
670,6883,FAKE
671,6987,FAKE
672,1514,REAL
673,10422,REAL
674,7254,FAKE
675,4989,REAL
676,6515,FAKE
677,2177,REAL
678,9479,FAKE
679,2675,REAL
680,1581,REAL
681,1908,REAL
682,2173,REAL
683,7183,FAKE
684,9889,FAKE
685,8770,FAKE
686,2272,REAL
687,2442,FAKE
688,5027,REAL
689,4165,REAL
690,7685,FAKE
691,9952,REAL
692,3726,REAL
693,7686,FAKE
694,5549,FAKE
695,2633,REAL
696,4066,REAL
697,325,REAL
698,8778,FAKE
699,257,REAL
700,9339,FAKE
701,1462,REAL
702,5357,FAKE
703,73,REAL
704,414,REAL
705,1576,REAL
706,6304,FAKE
707,9873,FAKE
708,10479,FAKE
709,2073,REAL
710,5707,FAKE
711,8626,FAKE
712,5065,REAL
713,2521,FAKE
714,4343,REAL
715,3915,REAL
716,5679,FAKE
717,4447,REAL
718,8839,FAKE
719,6832,FAKE
720,3356,REAL
721,2435,REAL
722,8106,REAL
723,3553,FAKE
724,3992,REAL
725,6033,REAL
726,1312,REAL
727,9192,FAKE
728,7413,FAKE
729,1061,REAL
730,7910,FAKE
731,6852,FAKE
732,8058,FAKE
733,5690,FAKE
734,8943,FAKE
735,7320,FAKE
736,2566,REAL
737,7370,FAKE
738,4039,REAL
739,1886,REAL
740,3261,REAL
741,8548,FAKE
742,8302,FAKE
743,3459,REAL
744,657,REAL
745,5298,FAKE
746,3188,REAL
747,5004,REAL
748,9606,FAKE
749,35,REAL
750,646,REAL
751,6690,FAKE
752,1529,REAL
753,8213,FAKE
754,9970,FAKE
755,1622,REAL
756,1485,REAL
757,2915,REAL
758,1872,REAL
759,5017,REAL
760,4733,REAL
761,3542,REAL
762,4307,REAL
763,4845,REAL
764,10178,REAL
765,1822,REAL
766,6335,FAKE
767,8090,FAKE
768,2515,REAL
769,4332,REAL
770,6676,FAKE
771,4101,REAL
772,5499,FAKE
773,4143,REAL
774,7405,FAKE
775,579,REAL
776,8813,FAKE
777,442,REAL
778,9341,FAKE
779,3711,REAL
780,9404,FAKE
781,4730,REAL
782,1710,REAL
783,7340,FAKE
784,7288,FAKE
785,7053,FAKE
786,10545,FAKE
787,321,REAL
788,4627,REAL
789,754,REAL
790,7780,FAKE
791,4850,REAL
792,5308,FAKE
793,2275,FAKE
794,994,REAL
795,8673,FAKE
796,1086,REAL
797,8405,REAL
798,6226,FAKE
799,4141,FAKE
800,835,REAL
801,5118,REAL
802,2452,REAL
803,7856,FAKE
804,7505,FAKE
805,3334,REAL
806,4873,REAL
807,4810,REAL
808,8996,FAKE
809,2836,REAL
810,7653,REAL
811,3052,FAKE
812,1466,REAL
813,10171,FAKE
814,314,REAL
815,7422,FAKE
816,3502,REAL
817,2511,REAL
818,4013,REAL
819,333,REAL
820,5062,REAL
821,36,REAL
822,6564,FAKE
823,8061,FAKE
824,6142,FAKE
825,105,REAL
826,6006,FAKE
827,8888,FAKE
828,1744,REAL
829,1053,REAL
830,9504,FAKE
831,6953,FAKE
832,1069,REAL
833,7563,FAKE
834,4973,REAL
835,3432,REAL
836,7813,FAKE
837,9438,FAKE
838,1324,REAL
839,7184,FAKE
840,9805,FAKE
841,1666,REAL
842,6150,FAKE
843,8087,FAKE
844,8968,FAKE
845,9576,FAKE
846,504,FAKE
847,3290,REAL
848,5989,FAKE
849,8672,FAKE
850,2801,REAL
851,5780,FAKE
852,8118,FAKE
853,10358,FAKE
854,1820,REAL
855,3628,REAL
856,1609,REAL
857,2350,REAL
858,5092,REAL
859,10551,FAKE
860,9566,FAKE
861,9745,FAKE
862,946,REAL
863,8729,FAKE
864,6884,FAKE
865,3486,REAL
866,3371,REAL
867,976,REAL
868,6209,FAKE
869,5644,FAKE
870,8474,FAKE
871,4752,REAL
872,274,REAL
873,3847,REAL
874,5566,REAL
875,1183,REAL
876,3876,REAL
877,6102,FAKE
878,1359,REAL
879,9851,FAKE
880,5990,FAKE
881,9751,FAKE
882,7804,FAKE
883,1731,REAL
884,5550,FAKE
885,8526,FAKE
886,8690,FAKE
887,10176,FAKE
888,710,REAL
889,5738,FAKE
890,10008,FAKE
891,6059,FAKE
892,4974,REAL
893,5704,FAKE
894,4191,REAL
895,6396,FAKE
896,9137,FAKE
897,7915,FAKE
898,7995,FAKE
899,7106,FAKE
900,2034,REAL
901,7671,FAKE
902,2602,REAL
903,6766,FAKE
904,8121,FAKE
905,392,REAL
906,6165,FAKE
907,7985,FAKE
908,2870,REAL
909,1414,REAL
910,6158,FAKE
911,758,REAL
912,8615,FAKE
913,7519,FAKE
914,888,REAL
915,4480,FAKE
916,1041,REAL
917,1276,REAL
918,9065,FAKE
919,7925,FAKE
920,3603,REAL
921,6971,FAKE
922,5930,FAKE
923,376,REAL
924,3504,REAL
925,9483,FAKE
926,242,REAL
927,3384,FAKE
928,1741,REAL
929,2668,FAKE
930,593,REAL
931,8285,FAKE
932,10261,FAKE
933,8842,REAL
934,3316,REAL
935,5021,REAL
936,1202,REAL
937,7777,FAKE
938,3655,REAL
939,9843,FAKE
940,5172,REAL
941,4058,FAKE
942,9379,FAKE
943,4084,REAL
944,6945,FAKE
945,5193,REAL
946,5271,REAL
947,3756,REAL
948,8450,FAKE
949,2023,REAL
950,1683,REAL
951,7078,FAKE
952,8935,FAKE
953,8511,FAKE
954,106,FAKE
955,7874,FAKE
956,7491,FAKE
957,3797,REAL
958,6314,FAKE
959,2425,REAL
960,6200,FAKE
961,532,FAKE
962,8116,FAKE
963,7487,FAKE
964,373,REAL
965,4967,REAL
966,2906,REAL
967,306,REAL
968,5661,FAKE
969,8520,FAKE
970,8338,FAKE
971,1554,REAL
972,10523,FAKE
973,7651,FAKE
974,10221,FAKE
975,8769,REAL
976,9422,FAKE
977,6125,FAKE
978,10353,FAKE
979,5740,FAKE
980,3036,REAL
981,2782,REAL
982,5938,FAKE
983,9995,FAKE
984,1478,REAL
985,4531,REAL
986,4616,FAKE
987,4402,REAL
988,5343,FAKE
989,4124,REAL
990,1045,REAL
991,6697,FAKE
992,7279,FAKE
993,7215,FAKE
994,824,REAL
995,9353,FAKE
996,2760,REAL
997,761,REAL
998,1398,REAL
999,8287,REAL
1000,6929,FAKE
1001,1467,FAKE
1002,4888,REAL
1003,6684,FAKE
1004,1511,FAKE
1005,3568,FAKE
1006,5548,REAL
1007,10047,FAKE
1008,2885,REAL
1009,4903,REAL
1010,237,REAL
1011,1184,REAL
1012,6254,FAKE
1013,8899,FAKE
1014,9562,FAKE
1015,6199,FAKE
1016,4309,REAL
1017,3735,REAL
1018,7644,FAKE
1019,1243,REAL
1020,8719,FAKE
1021,1928,REAL
1022,9006,FAKE
1023,10386,FAKE
1024,642,REAL
1025,1442,REAL
1026,660,REAL
1027,480,REAL
1028,5164,REAL
1029,5904,FAKE
1030,10342,FAKE
1031,629,REAL
1032,8743,FAKE
1033,7969,FAKE
1034,4575,REAL
1035,557,REAL
1036,470,REAL
1037,10290,FAKE
1038,2491,REAL
1039,5318,FAKE
1040,10049,FAKE
1041,9938,FAKE
1042,6146,FAKE
1043,7632,FAKE
1044,6502,FAKE
1045,6181,FAKE
1046,5534,FAKE
1047,7231,FAKE
1048,7269,FAKE
1049,2165,REAL
1050,4846,REAL
1051,6848,FAKE
1052,7198,FAKE
1053,8050,FAKE
1054,2659,REAL
1055,3199,REAL
1056,2986,REAL
1057,8313,FAKE
1058,9395,FAKE
1059,5744,FAKE
1060,3298,REAL
1061,10202,FAKE
1062,9252,FAKE
1063,10319,FAKE
1064,4153,REAL
1065,5042,FAKE
1066,2927,REAL
1067,10249,FAKE
1068,3875,REAL
1069,4346,REAL
1070,5647,FAKE
1071,8349,FAKE
1072,555,REAL
1073,3292,REAL
1074,5571,FAKE
1075,7045,FAKE
1076,9897,FAKE
1077,3588,REAL
1078,10399,FAKE
1079,3515,REAL
1080,1572,REAL
1081,5669,FAKE
1082,8251,FAKE
1083,8875,FAKE
1084,9373,FAKE
1085,4640,REAL
1086,5558,FAKE
1087,2903,REAL
1088,6747,FAKE
1089,9686,FAKE
1090,9087,FAKE
1091,2209,REAL
1092,422,FAKE
1093,1956,REAL
1094,2474,REAL
1095,8072,FAKE
1096,149,REAL
1097,4074,REAL
1098,1873,REAL
1099,8629,FAKE
1100,4171,REAL
1101,565,FAKE
1102,3734,REAL
1103,1999,REAL
1104,1851,REAL
1105,1682,FAKE
1106,7826,FAKE
1107,8570,FAKE
1108,1365,REAL
1109,26,REAL
1110,10332,FAKE
1111,5958,REAL
1112,2038,REAL
1113,10264,FAKE
1114,6081,FAKE
1115,2767,REAL
1116,6332,FAKE
1117,8002,REAL
1118,8451,FAKE
1119,6185,FAKE
1120,5269,REAL
1121,2271,REAL
1122,2013,REAL
1123,1308,REAL
1124,9988,FAKE
1125,4611,FAKE
1126,1651,REAL
1127,774,REAL
1128,9881,FAKE
1129,7068,FAKE
1130,542,FAKE
1131,6439,FAKE
1132,6229,FAKE
1133,3075,REAL
1134,5782,FAKE
1135,6427,FAKE
1136,2563,REAL
1137,5069,REAL
1138,1031,REAL
1139,8841,FAKE
1140,7767,FAKE
1141,6070,FAKE
1142,4253,REAL
1143,2865,REAL
1144,4766,FAKE
1145,434,REAL
1146,5194,FAKE
1147,5907,FAKE
1148,2254,REAL
1149,4968,REAL
1150,4781,REAL
1151,6925,REAL
1152,9420,FAKE
1153,4472,REAL
1154,436,FAKE
1155,4731,REAL
1156,8138,FAKE
1157,669,REAL
1158,8279,FAKE
1159,3621,REAL
1160,857,REAL
1161,25,REAL
1162,1249,REAL
1163,3293,REAL
1164,649,REAL
1165,4503,REAL
1166,1330,REAL
1167,8348,FAKE
1168,8686,FAKE
1169,4319,REAL
1170,3490,REAL
1171,939,REAL
1172,10464,FAKE
1173,5196,REAL
1174,890,REAL
1175,3609,REAL
1176,2584,REAL
1177,2155,REAL
1178,8269,FAKE
1179,4282,REAL
1180,913,FAKE
1181,3362,REAL
1182,133,REAL
1183,5713,FAKE
1184,3014,REAL
1185,9015,FAKE
1186,1128,REAL
1187,8998,FAKE
1188,4513,REAL
1189,9912,FAKE
1190,4387,REAL
1191,9602,FAKE
1192,8040,FAKE
1193,2734,FAKE
1194,3332,FAKE
1195,1941,REAL
1196,6182,FAKE
